Notes,County,County Code,Avg Daily Max Air Temperature (F),Avg Daily Min Air Temperature (F),Avg Daily Max Heat Index (F),County_Formatted,latitude,longitude
,"Dodge County, NE",31053.0,60.52,41.05,91.24,"Dodge County, NE",41.5688,-96.6751
,"Douglas County, NE",31055.0,61.23,42.06,91.69,"Douglas County, NE",41.2919,-96.1502
,"Dundy County, NE",31057.0,64.98,43.44,88.58,"Dundy County, NE",40.1776,-101.6884
,"Fillmore County, NE",31059.0,62.42,42.8,90.96,"Fillmore County, NE",40.5318,-97.5965
,"Franklin County, NE",31061.0,64.0,43.18,90.7,"Franklin County, NE",40.18,-98.9526
,"Frontier County, NE",31063.0,63.71,42.93,89.43,"Frontier County, NE",40.532,-100.3823
,"Furnas County, NE",31065.0,64.76,43.71,90.42,"Furnas County, NE",40.193,-99.9124
,"Gage County, NE",31067.0,62.73,42.57,91.52,"Gage County, NE",40.2659,-96.69
,"Garden County, NE",31069.0,61.56,41.03,86.8,"Garden County, NE",41.6187,-102.311
,"Garfield County, NE",31071.0,60.06,40.61,89.32,"Garfield County, NE",41.9211,-98.9916
,"Gosper County, NE",31073.0,63.43,42.55,89.77,"Gosper County, NE",40.5285,-99.8127
,"Grant County, NE",31075.0,59.6,40.41,86.33,"Grant County, NE",41.9195,-101.7466
,"Greeley County, NE",31077.0,60.83,40.77,90,"Greeley County, NE",41.5734,-98.5213
,"Hall County, NE",31079.0,62.49,42.3,90.49,"Hall County, NE",40.8731,-98.5022
,"Hamilton County, NE",31081.0,62.32,42.8,90.64,"Hamilton County, NE",40.9375,-98.0167
,"Harlan County, NE",31083.0,64.47,43.43,90.69,"Harlan County, NE",40.18,-99.4045
,"Hayes County, NE",31085.0,63.88,42.57,88.74,"Hayes County, NE",40.5333,-101.0637
,"Hitchcock County, NE",31087.0,65.08,43.74,89.28,"Hitchcock County, NE",40.179,-101.0431
,"Holt County, NE",31089.0,59.51,40.24,89.76,"Holt County, NE",42.4933,-98.7752
,"Hooker County, NE",31091.0,59.97,40.89,87.07,"Hooker County, NE",41.9192,-101.1349
,"Howard County, NE",31093.0,62.15,41.53,90.55,"Howard County, NE",41.2222,-98.5172
,"Jefferson County, NE",31095.0,63.16,43.13,91.57,"Jefferson County, NE",40.1832,-97.1427
,"Johnson County, NE",31097.0,62.45,42.85,91.62,"Johnson County, NE",40.4,-96.265
,"Kearney County, NE",31099.0,63.11,43.1,90.21,"Kearney County, NE",40.5292,-98.9518
,"Keith County, NE",31101.0,62.78,41.45,88.02,"Keith County, NE",41.1991,-101.6629
,"Keya Paha County, NE",31103.0,59.45,40.34,89.18,"Keya Paha County, NE",42.8582,-99.7277
,"Kimball County, NE",31105.0,60.83,40.69,84.86,"Kimball County, NE",41.1986,-103.7148
,"Knox County, NE",31107.0,59.55,39.98,90.5,"Knox County, NE",42.662,-97.8954
,"Lancaster County, NE",31109.0,62.18,41.98,91.51,"Lancaster County, NE",40.7872,-96.6872
,"Lincoln County, NE",31111.0,62.61,41.9,88.61,"Lincoln County, NE",41.047,-100.7442
,"Logan County, NE",31113.0,60.89,41.01,88.09,"Logan County, NE",41.5947,-100.4834
,"Loup County, NE",31115.0,60.14,40.21,89.04,"Loup County, NE",41.913,-99.4544
,"McPherson County, NE",31117.0,60.84,41.32,87.37,"McPherson County, NE",,
,"Madison County, NE",31119.0,59.89,40.92,90.21,"Madison County, NE",41.922,-97.6008
,"Merrick County, NE",31121.0,61.96,41.63,90.92,"Merrick County, NE",41.1371,-98.0739
,"Morrill County, NE",31123.0,61.96,41.21,86.53,"Morrill County, NE",41.7195,-103.0045
,"Nance County, NE",31125.0,61.25,40.91,90.72,"Nance County, NE",41.3988,-97.9976
,"Nemaha County, NE",31127.0,62.73,42.87,92.28,"Nemaha County, NE",40.4105,-95.863
,"Nuckolls County, NE",31129.0,63.65,43.78,91.19,"Nuckolls County, NE",40.1769,-98.0472
,"Otoe County, NE",31131.0,62.26,42.96,91.82,"Otoe County, NE",40.6542,-96.1234
,"Pawnee County, NE",31133.0,62.63,43.23,91.65,"Pawnee County, NE",40.1345,-96.237
,"Perkins County, NE",31135.0,63.16,41.45,88.04,"Perkins County, NE",40.8495,-101.6496
,"Phelps County, NE",31137.0,63.23,42.8,89.97,"Phelps County, NE",40.5215,-99.4118
,"Pierce County, NE",31139.0,59.22,39.85,90.08,"Pierce County, NE",42.2696,-97.6014
,"Platte County, NE",31141.0,60.78,41.09,90.68,"Platte County, NE",41.5439,-97.5414
,"Polk County, NE",31143.0,61.34,41.61,90.79,"Polk County, NE",41.222,-97.5724
,"Red Willow County, NE",31145.0,65.07,43.9,89.93,"Red Willow County, NE",40.1821,-100.4778
,"Richardson County, NE",31147.0,63.2,43.77,92.47,"Richardson County, NE",40.1309,-95.7153
,"Rock County, NE",31149.0,59.27,39.96,88.92,"Rock County, NE",42.4494,-99.4604
,"Saline County, NE",31151.0,62.4,42.52,91.3,"Saline County, NE",40.5313,-97.1406
,"Sarpy County, NE",31153.0,61.53,42.46,91.83,"Sarpy County, NE",41.0929,-96.1005
,"Saunders County, NE",31155.0,61.31,41.59,91.39,"Saunders County, NE",41.2345,-96.6371
,"Scotts Bluff County, NE",31157.0,62.62,41.82,86.58,"Scotts Bluff County, NE",41.8509,-103.7073
,"Seward County, NE",31159.0,61.68,42.41,91.06,"Seward County, NE",40.8792,-97.1394
,"Sheridan County, NE",31161.0,59.62,39.83,86.26,"Sheridan County, NE",42.5043,-102.4198
,"Sherman County, NE",31163.0,61.88,41.57,90.01,"Sherman County, NE",41.2257,-98.9762
,"Sioux County, NE",31165.0,60.03,40.23,85.6,"Sioux County, NE",42.5049,-103.7667
,"Stanton County, NE",31167.0,59.79,40.66,90.36,"Stanton County, NE",41.9215,-97.194
,"Thayer County, NE",31169.0,63.37,43.61,91.36,"Thayer County, NE",40.1835,-97.5949
,"Thomas County, NE",31171.0,60.24,41.04,87.86,"Thomas County, NE",41.929,-100.5553
,"Thurston County, NE",31173.0,59.24,39.87,90.72,"Thurston County, NE",42.1468,-96.5714
,"Valley County, NE",31175.0,60.99,40.94,89.74,"Valley County, NE",41.5667,-98.9817
,"Washington County, NE",31177.0,60.78,41.55,91.49,"Washington County, NE",41.5376,-96.2688
,"Wayne County, NE",31179.0,59.18,40.24,90.14,"Wayne County, NE",42.2225,-97.0955
,"Webster County, NE",31181.0,63.89,43.44,90.97,"Webster County, NE",40.1769,-98.4998
,"Wheeler County, NE",31183.0,59.79,40.4,89.65,"Wheeler County, NE",41.9144,-98.5281
,"York County, NE",31185.0,62.0,42.39,90.86,"York County, NE",40.8794,-97.5972
,"Churchill County, NV",32001.0,62.97,44.83,84.65,"Churchill County, NV",39.5395,-118.2919
,"Clark County, NV",32003.0,74.63,55.8,90.23,"Clark County, NV",35.933,-115.2601
,"Douglas County, NV",32005.0,57.69,38.26,81.35,"Douglas County, NV",38.8267,-119.5856
,"Elko County, NV",32007.0,55.34,38.84,82.12,"Elko County, NV",41.0619,-115.5301
,"Esmeralda County, NV",32009.0,62.14,44.66,83.48,"Esmeralda County, NV",37.7289,-117.681
,"Eureka County, NV",32011.0,57.22,39.81,82.37,"Eureka County, NV",40.0869,-116.2172
,"Humboldt County, NV",32013.0,57.63,41.38,83.06,"Humboldt County, NV",41.2611,-118.1618
,"Lander County, NV",32015.0,57.81,40.48,82.44,"Lander County, NV",40.0429,-117.0563
,"Lincoln County, NV",32017.0,64.71,47.25,85.24,"Lincoln County, NV",37.7609,-114.9727
,"Lyon County, NV",32019.0,60.8,42.49,83.35,"Lyon County, NV",39.0782,-119.0327
,"Mineral County, NV",32021.0,59.99,42.1,83.03,"Mineral County, NV",38.4859,-118.3056
,"Nye County, NV",32023.0,61.61,44.24,84.48,"Nye County, NV",37.5883,-116.5304
,"Pershing County, NV",32027.0,60.44,43.42,83.7,"Pershing County, NV",40.481,-118.3302
,"Storey County, NV",32029.0,60.14,41.52,82.54,"Storey County, NV",39.4383,-119.5329
,"Washoe County, NV",32031.0,57.79,40.22,82.79,"Washoe County, NV",40.5919,-119.6547
,"White Pine County, NV",32033.0,55.73,38.76,81.54,"White Pine County, NV",39.4098,-114.9774
,"Carson City, NV",32510.0,59.25,40.28,81.87,"Carson City, NV",39.1679,-119.7232
,"Belknap County, NH",33001.0,52.21,38.16,87.33,"Belknap County, NH",43.5256,-71.4326
,"Carroll County, NH",33003.0,50.67,36.87,87.21,"Carroll County, NH",43.882,-71.277
,"Cheshire County, NH",33005.0,52.59,38.32,87.22,"Cheshire County, NH",42.9472,-72.2973
,"Coos County, NH",33007.0,46.62,33.44,86.01,"Coos County, NH",44.6987,-71.3169
,"Grafton County, NH",33009.0,48.77,35.18,86.63,"Grafton County, NH",43.9691,-71.7378
,"Hillsborough County, NH",33011.0,53.79,39.47,87.58,"Hillsborough County, NH",42.953,-71.7203
,"Merrimack County, NH",33013.0,53.09,38.83,87.48,"Merrimack County, NH",43.3128,-71.686
,"Rockingham County, NH",33015.0,54.68,40.7,88.07,"Rockingham County, NH",43.0068,-71.068
,"Strafford County, NH",33017.0,53.69,39.65,88.03,"Strafford County, NH",43.3285,-71.0587
,"Sullivan County, NH",33019.0,51.39,36.93,86.84,"Sullivan County, NH",43.3649,-72.2372
,"Atlantic County, NJ",34001.0,62.05,46.86,89.17,"Atlantic County, NJ",39.5098,-74.6941
,"Bergen County, NJ",34003.0,59.62,44.62,88.56,"Bergen County, NJ",40.9485,-74.0323
,"Burlington County, NJ",34005.0,61.78,45.44,89.21,"Burlington County, NJ",39.8671,-74.6832
,"Camden County, NJ",34007.0,62.26,45.52,89.38,"Camden County, NJ",39.8025,-74.9898
,"Cape May County, NJ",34009.0,58.91,51.07,87.11,"Cape May County, NJ",39.1268,-74.8257
,"Cumberland County, NJ",34011.0,61.37,47.55,88.69,"Cumberland County, NJ",39.3728,-75.124
,"Essex County, NJ",34013.0,59.98,45.09,88.43,"Essex County, NJ",40.7945,-74.2539
,"Gloucester County, NJ",34015.0,62.37,45.61,89.44,"Gloucester County, NJ",39.6999,-75.1442
,"Hudson County, NJ",34017.0,60.35,45.98,88.3,"Hudson County, NJ",40.7337,-74.0641
,"Hunterdon County, NJ",34019.0,59.49,43.55,88.65,"Hunterdon County, NJ",40.5639,-74.9125
,"Mercer County, NJ",34021.0,61.04,43.78,89.18,"Mercer County, NJ",40.2809,-74.6827
,"Middlesex County, NJ",34023.0,60.73,44.33,89.02,"Middlesex County, NJ",40.4306,-74.4006
,"Monmouth County, NJ",34025.0,60.01,45.95,87.9,"Monmouth County, NJ",40.2791,-74.1884
,"Morris County, NJ",34027.0,58.15,43.13,88.18,"Morris County, NJ",40.8677,-74.5721
,"Ocean County, NJ",34029.0,61.24,46.4,88.47,"Ocean County, NJ",39.8409,-74.2864
,"Passaic County, NJ",34031.0,57.91,42.88,88.07,"Passaic County, NJ",41.0117,-74.308
,"Salem County, NJ",34033.0,61.72,47.01,88.98,"Salem County, NJ",39.5844,-75.3039
,"Somerset County, NJ",34035.0,60.21,43.68,89.03,"Somerset County, NJ",40.5669,-74.6246
